T1,T2,T3,R1,R2,R3
-0.128085,-0.0594741,0,1.48725,1.47482,0
-0.128066,-0.0594678,0,1.48676,1.47472,0
-0.128046,-0.0594615,0,1.48627,1.47463,0
-0.128015,-0.0594594,0,1.48621,1.47413,0
-0.127983,-0.0594573,0,1.48614,1.47364,0
-0.127981,-0.0594538,0,1.48599,1.47316,0
-0.127979,-0.0594503,0,1.48584,1.47269,0
-0.127972,-0.0594491,0,1.48536,1.47253,0
-0.127964,-0.0594479,0,1.48488,1.47238,0
-0.127965,-0.0594372,0,1.48488,1.47188,0
-0.127966,-0.0594265,0,1.48488,1.47138,0
-0.12795,-0.0594262,0,1.48481,1.47089,0
-0.127933,-0.0594258,0,1.48475,1.47039,0
-0.127932,-0.0594203,0,1.48448,1.46997,0
-0.127931,-0.0594148,0,1.48421,1.46955,0
-0.127931,-0.0594073,0,1.48381,1.46925,0
-0.127932,-0.0593999,0,1.4834,1.46896,0
-0.127921,-0.0593985,0,1.4835,1.46847,0
-0.12791,-0.059397,0,1.4836,1.46798,0
-0.127908,-0.0593915,0,1.48315,1.46778,0
-0.127905,-0.059386,0,1.48269,1.46758,0
-0.127897,-0.0593796,0,1.48261,1.46708,0
-0.127889,-0.0593731,0,1.48253,1.46659,0
-0.127863,-0.0593665,0,1.48228,1.46616,0
-0.127838,-0.05936,0,1.48202,1.46573,0
-0.127834,-0.0593552,0,1.48155,1.46556,0
-0.12783,-0.0593504,0,1.48108,1.46539,0
-0.127818,-0.059345,0,1.4812,1.46491,0
-0.127806,-0.0593397,0,1.48133,1.46442,0
-0.127805,-0.0593343,0,1.48088,1.4642,0
-0.127804,-0.0593288,0,1.48043,1.46398,0
-0.127803,-0.0593251,0,1.4801,1.46361,0
-0.127801,-0.0593214,0,1.47977,1.46323,0
-0.127772,-0.0593069,0,1.47957,1.46277,0
-0.127743,-0.0592925,0,1.47937,1.46232,0
-0.127735,-0.0592895,0,1.47955,1.46185,0
-0.127727,-0.0592866,0,1.47973,1.46138,0
-0.127719,-0.0592844,0,1.47944,1.46097,0
-0.127711,-0.0592822,0,1.47915,1.46056,0
-0.127708,-0.0592753,0,1.47918,1.46006,0
-0.127705,-0.0592683,0,1.47921,1.45956,0
-0.127694,-0.0592671,0,1.47875,1.45938,0
-0.127682,-0.0592659,0,1.47828,1.4592,0
-0.127635,-0.0592517,0,1.47808,1.45874,0
-0.127588,-0.0592376,0,1.47788,1.45828,0
-0.127581,-0.0592354,0,1.4776,1.45787,0
-0.127573,-0.0592332,0,1.47731,1.45747,0
-0.127543,-0.0592226,0,1.47734,1.45697,0
-0.127512,-0.059212,0,1.47737,1.45647,0
-0.1275,-0.0592121,0,1.47697,1.45616,0
-0.127488,-0.0592122,0,1.47658,1.45586,0
-0.127452,-0.0591985,0,1.47642,1.45539,0
-0.127417,-0.0591849,0,1.47627,1.45491,0
-0.127409,-0.059178,0,1.47619,1.45442,0
-0.127401,-0.0591711,0,1.47611,1.45393,0
-0.127404,-0.0591707,0,1.47596,1.45345,0
-0.127406,-0.0591703,0,1.47582,1.45297,0
-0.1274,-0.0591627,0,1.47549,1.45259,0
-0.127395,-0.059155,0,1.47515,1.45222,0
-0.127377,-0.0591529,0,1.47465,1.45219,0
