Time,X_[ref],Y_[ref],Z_[ref],Q0_[ref],Qx_[ref],Qy_[ref],QZ_[ref],X_[tip],Y_[tip],Z_[tip],Q0_[tip],Qx_[tip],Qy_[tip],Qz_[tip]
9.7877,-116.931,-46.3103,-85.7444,0.533187,0.488993,0.525552,0.447652,-49.8368,-49.7453,-88.6835,0.664239,0.0316689,0.74685,0
9.81268,-116.931,-46.312,-85.7429,0.533175,0.489002,0.525548,0.447661,-49.5477,-49.8647,-88.6854,0.664882,0.0329684,0.746221,0
9.83765,-116.931,-46.3099,-85.7439,0.533177,0.489007,0.52554,0.447663,-49.3738,-49.6968,-88.4959,0.66468,0.0346573,0.746324,0
9.86258,-116.93,-46.3081,-85.7447,0.53317,0.489033,0.525524,0.447661,-49.1365,-49.8254,-88.6266,0.664452,0.0341993,0.746548,0
9.88765,-116.929,-46.3083,-85.7444,0.533156,0.489054,0.525517,0.447664,-48.8848,-49.8372,-88.6386,0.663955,0.0348526,0.74696,0
9.9126,-116.926,-46.3097,-85.7459,0.533143,0.489062,0.525508,0.447682,-48.6432,-49.8122,-88.564,0.664247,0.0361939,0.746636,0
9.93759,-116.922,-46.3079,-85.7454,0.533139,0.489076,0.525487,0.447696,-48.3444,-50.0127,-88.6866,0.664407,0.0351532,0.746544,0
9.9626,-116.928,-46.3077,-85.7456,0.53314,0.489073,0.525491,0.447692,-48.1573,-49.9948,-88.5951,0.663509,0.0349907,0.74735,0
9.98756,-116.931,-46.3059,-85.7475,0.53314,0.489081,0.525487,0.447688,-47.9083,-49.8986,-88.4233,0.664183,0.0355773,0.746723,0
10.0125,-116.93,-46.3088,-85.7466,0.533125,0.489117,0.525469,0.447688,-47.6005,-50.0066,-88.5954,0.664252,0.034875,0.746695,0
10.0375,-116.929,-46.3074,-85.7471,0.533132,0.489112,0.525462,0.447693,-47.1412,-50.2035,-88.5455,0.66644,0.0352285,0.744726,0
10.0625,-116.927,-46.3083,-85.7491,0.533138,0.489111,0.525454,0.447697,-47.1906,-49.7166,-88.1653,0.6656,0.0371175,0.745385,0
10.0875,-116.928,-46.309,-85.748,0.533149,0.489104,0.525449,0.447698,-46.8432,-49.985,-88.4299,0.666035,0.0334392,0.745171,0
